Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_pipeline_full.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  4 12:18 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/pipeline_full.fsdb'
*Verdi* : Begin traversing the scope (cpu_pipeline_full_tb), layer (0).
*Verdi* : End of traversing.
Time=25000: PC=0x00000000, inst=0x00000013
Time=35000: PC=0x00000000, inst=0x00a00093
Time=45000: PC=0x00000004, inst=0x01400113
Time=55000: PC=0x00000008, inst=0x00500193
Time=65000: PC=0x0000000c, inst=0x00208233
Time=75000: PC=0x00000010, inst=0x003202b3
Time=85000: PC=0x00000014, inst=0x40110333
Time=95000: PC=0x00000018, inst=0x403283b3
Time=105000: PC=0x0000001c, inst=0x0ff00413
Time=115000: PC=0x00000020, inst=0x00f00493
Time=125000: PC=0x00000024, inst=0x00947533
Time=135000: PC=0x00000028, inst=0x009465b3
Time=145000: PC=0x0000002c, inst=0x0050e613
Time=155000: PC=0x00000030, inst=0x00200693
Time=165000: PC=0x00000034, inst=0x00d19733
Time=175000: PC=0x00000038, inst=0x00d157b3
Time=185000: PC=0x0000003c, inst=0x10000813
Time=195000: PC=0x00000040, inst=0x00482023
Time=205000: PC=0x00000044, inst=0x00582223
Time=215000: PC=0x00000048, inst=0x00082883
Time=225000: SW - mem[0x00000100] = 0x0000001e
Time=225000: PC=0x00000048, inst=0x00000013
Time=235000: PC=0x00000048, inst=0x00082883
Time=245000: PC=0x0000004c, inst=0x00482903
Time=255000: SW - mem[0x00000104] = 0x00000023
Time=255000: PC=0x0000004c, inst=0x00000013
Time=265000: PC=0x0000004c, inst=0x00482903
Time=275000: PC=0x00000050, inst=0x06400993
Time=285000: PC=0x00000050, inst=0x00000013
Time=295000: PC=0x00000050, inst=0x06400993
Time=305000: PC=0x00000050, inst=0x00000013
Time=315000: PC=0x00000050, inst=0x06400993
Time=325000: PC=0x00000054, inst=0x06400a13
Time=335000: PC=0x00000058, inst=0x01498863
Time=345000: PC=0x00000058, inst=0x00000013
Time=355000: PC=0x00000058, inst=0x01498863
Time=365000: PC=0x0000005c, inst=0x06300a93
Time=375000: PC=0x00000060, inst=0x00000013
Time=385000: PC=0x00000068, inst=0x0c800a93
Time=395000: PC=0x0000006c, inst=0x03200b13
Time=405000: PC=0x00000070, inst=0x03c00b93
Time=415000: PC=0x00000074, inst=0x017b1863
Time=425000: PC=0x00000078, inst=0x05800c13
Time=435000: PC=0x0000007c, inst=0x00000013
Time=445000: PC=0x00000084, inst=0x04d00c13
Time=455000: PC=0x00000088, inst=0x010000ef
Time=465000: PC=0x00000088, inst=0x00000013
Time=475000: PC=0x00000088, inst=0x010000ef
Time=485000: PC=0x00000098, inst=0x0de00d13
Time=495000: PC=0x0000009c, inst=0x00000d93
Time=505000: PC=0x000000a0, inst=0x0b000e13
Time=515000: PC=0x000000a4, inst=0x000e0d67
Time=525000: PC=0x000000a4, inst=0x00000013
Time=535000: PC=0x000000a4, inst=0x000e0d67
Time=545000: PC=0x000000b0, inst=0x1bc00e93
Time=555000: PC=0x000000b4, inst=0xfff00f93
Time=565000: PC=0x000000b8, inst=0x0000006f
Time=575000: PC=0x000000b8, inst=0x00000013
