Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=65000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=75000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=85000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=85000: FLASH READ - addr=0x00000000, data=0x13
Time=95000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=95000: FLASH READ - addr=0x00000001, data=0x02
Time=105000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=105000: FLASH READ - addr=0x00000002, data=0x90
Time=115000: CPU READ REQUEST - addr=0x00000000, ready=0
Time=115000: FLASH READ - addr=0x00000003, data=0x00
Time=125000: CPU READ REQUEST - addr=0x00000000, ready=1
Time=125000: FLASH READ - addr=0x00000004, data=0x93
Time=135000: CPU READ REQUEST - addr=0x00000004, ready=1
Time=135000: FLASH READ - addr=0x00000004, data=0x93
Time=145000: CPU READ REQUEST - addr=0x00000004, ready=1
Time=155000: CPU READ REQUEST - addr=0x00000004, ready=0
Time=165000: CPU READ REQUEST - addr=0x00000004, ready=0
Time=165000: FLASH READ - addr=0x00000004, data=0x93
Time=175000: CPU READ REQUEST - addr=0x00000004, ready=0
Time=175000: FLASH READ - addr=0x00000005, data=0x01
Time=185000: CPU READ REQUEST - addr=0x00000004, ready=0
Time=185000: FLASH READ - addr=0x00000006, data=0x40
Time=195000: CPU READ REQUEST - addr=0x00000004, ready=0
Time=195000: FLASH READ - addr=0x00000007, data=0x00
Time=205000: CPU READ REQUEST - addr=0x00000004, ready=1
Time=205000: FLASH READ - addr=0x00000008, data=0x33
Time=215000: CPU READ REQUEST - addr=0x00000008, ready=1
Time=215000: FLASH READ - addr=0x00000008, data=0x33
Time=225000: CPU READ REQUEST - addr=0x00000008, ready=1
Time=235000: CPU READ REQUEST - addr=0x00000008, ready=0
Time=245000: CPU READ REQUEST - addr=0x00000008, ready=0
Time=245000: FLASH READ - addr=0x00000008, data=0x33
Time=255000: CPU READ REQUEST - addr=0x00000008, ready=0
Time=255000: FLASH READ - addr=0x00000009, data=0x01
Time=265000: CPU READ REQUEST - addr=0x00000008, ready=0
Time=265000: FLASH READ - addr=0x0000000a, data=0x32
Time=275000: CPU READ REQUEST - addr=0x00000008, ready=0
Time=275000: FLASH READ - addr=0x0000000b, data=0x00
Time=285000: CPU READ REQUEST - addr=0x00000008, ready=1
Time=285000: FLASH READ - addr=0x0000000c, data=0xb3
Time=295000: CPU READ REQUEST - addr=0x0000000c, ready=1
Time=295000: FLASH READ - addr=0x0000000c, data=0xb3
Time=305000: CPU READ REQUEST - addr=0x0000000c, ready=1
Time=315000: CPU READ REQUEST - addr=0x0000000c, ready=0
Time=325000: CPU READ REQUEST - addr=0x0000000c, ready=0
Time=325000: FLASH READ - addr=0x0000000c, data=0xb3
Time=335000: CPU READ REQUEST - addr=0x0000000c, ready=0
Time=335000: FLASH READ - addr=0x0000000d, data=0x00
Time=345000: CPU READ REQUEST - addr=0x0000000c, ready=0
Time=345000: FLASH READ - addr=0x0000000e, data=0x32
Time=355000: CPU READ REQUEST - addr=0x0000000c, ready=0
Time=355000: FLASH READ - addr=0x0000000f, data=0x40
Time=365000: CPU READ REQUEST - addr=0x0000000c, ready=1
Time=365000: FLASH READ - addr=0x00000010, data=0x33
Time=375000: CPU READ REQUEST - addr=0x0000000c, ready=1
Time=375000: FLASH READ - addr=0x00000010, data=0x33
Time=385000: CPU READ REQUEST - addr=0x0000000c, ready=1
Time=445000: WB COMMIT - rd=x4, data=0x00000009
Time=455000: WB COMMIT - rd=x3, data=0x00000004
Time=465000: WB COMMIT - rd=x2, data=0x0000000d
Time=475000: WB COMMIT - rd=x1, data=0x00000005
Time=485000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=495000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=505000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=505000: FLASH READ - addr=0x00000010, data=0x33
Time=515000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=515000: FLASH READ - addr=0x00000011, data=0x73
Time=525000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=525000: FLASH READ - addr=0x00000012, data=0x32
Time=535000: CPU READ REQUEST - addr=0x00000010, ready=0
Time=535000: FLASH READ - addr=0x00000013, data=0x00
Time=545000: CPU READ REQUEST - addr=0x00000010, ready=1
Time=545000: FLASH READ - addr=0x00000014, data=0xb3
Time=555000: CPU READ REQUEST - addr=0x00000014, ready=1
Time=555000: FLASH READ - addr=0x00000014, data=0xb3
Time=565000: CPU READ REQUEST - addr=0x00000014, ready=1
Time=575000: CPU READ REQUEST - addr=0x00000014, ready=0
Time=585000: CPU READ REQUEST - addr=0x00000014, ready=0
Time=585000: FLASH READ - addr=0x00000014, data=0xb3
Time=595000: CPU READ REQUEST - addr=0x00000014, ready=0
Time=595000: FLASH READ - addr=0x00000015, data=0x63
Time=605000: CPU READ REQUEST - addr=0x00000014, ready=0
